id,userId,username,content,createdAt,likes_count,comments_count,shares_count
1,8,jose-miguelribeiro_8,Iusto nulla velit eveniet nostrum officia odio iure praesentium officiis blanditiis aliquid alias voluptatum blanditiis doloremque modi.,2025-12-05T13:44:55.853781,5947,449,78
2,16,viniciuscastro_16,Iste perferendis quia veniam in quia culpa impedit aut laudantium illum veritatis adipisci fuga ipsam veritatis sequi aut placeat molestias voluptate.,2026-01-30T13:44:55.853802,3946,449,145
3,6,qmoura_6,Aperiam eius voluptas veniam repudiandae at distinctio odit voluptas amet ex voluptates ratione dignissimos rerum mollitia nesciunt repellat doloremque quo ratione.,2026-01-28T13:44:55.853820,7962,417,17
4,49,lunna09_49,A similique corporis consectetur dolorum cupiditate optio ad accusamus ratione dolores eum cupiditate amet qui minima quia labore quod maiores autem magnam veniam aliquam quos sint maxime.,2025-12-30T13:44:55.853836,2060,65,168
5,31,ucavalcanti_31,Officia adipisci voluptatum sed incidunt autem quae ipsam tempore eum corporis commodi numquam nesciunt quae fugit nisi eos magni inventore recusandae beatae omnis.,2025-12-04T13:44:55.853852,9007,84,67
6,34,maria-sophiada-mota_34,Quam dolor iste dolorem excepturi iste impedit atque incidunt pariatur fugiat corrupti ullam architecto rerum at atque qui repellat nam nesciunt natus eveniet commodi explicabo pariatur.,2025-12-09T13:44:55.853868,9938,216,54
7,35,da-cunhamaria-liz_35,Sint quam voluptas nobis expedita neque distinctio omnis dolore autem sapiente facilis quis nemo rem sapiente voluptate repellendus nostrum odit ad ut.,2025-12-16T13:44:55.853883,3295,365,79
8,26,teixeiragabrielly_26,Adipisci earum quis ullam expedita delectus corporis omnis architecto qui voluptas at minus fugiat iste culpa est eveniet.,2025-12-22T13:44:55.853901,6118,224,132
9,29,maria-florsampaio_29,Nisi sunt culpa quidem amet aspernatur ipsam incidunt non impedit dolor maiores exercitationem beatae perspiciatis nihil minima est dolore voluptates amet dignissimos veniam quisquam quisquam enim.,2026-01-26T13:44:55.853918,4061,115,16
10,22,cmacedo_22,Ab quia cupiditate fugit provident magnam rerum rem asperiores similique aliquam accusantium ullam similique nemo.,2026-02-01T13:44:55.853934,9638,283,58
11,38,luna17_38,Illo odit enim illo vitae cupiditate veniam itaque porro facere ipsa autem ipsa id aspernatur sit quia dolore quod asperiores odio minus deserunt quod expedita vero.,2026-01-19T13:44:55.853949,117,36,181
12,41,liamdas-neves_41,Dolores corporis deserunt nobis quis omnis debitis quo laudantium quidem quis ipsum unde natus odio.,2026-01-30T13:44:55.853964,3750,34,8
13,22,cmacedo_22,Eum voluptas et ipsam iusto occaecati recusandae nihil explicabo asperiores iure alias fuga enim officia voluptate at nisi fugit neque veritatis qui aliquam tenetur nemo deleniti non.,2026-01-29T13:44:55.853980,8423,121,71
